year,fips,totalvotes,DEMOCRAT,REPUBLICAN,OTHER,lagDEM,lagREP,lagOTH,Bac,Ass,High,Low,Civilian_labor_force,Unemployed,unemprate
2000,20061,6866,2660,3977,229,NA,NA,NA,2202,4726,6118,2698,11311,555,0.04906727963928919
2000,20063,1495,296,1122,77,NA,NA,NA,329,746,654,391,1570,36,0.022929936305732482
2000,20065,1474,346,1058,70,NA,NA,NA,348,724,683,370,1433,42,0.02930914166085136
2000,20067,2856,683,2126,47,NA,NA,NA,1341,1319,1335,717,3710,110,0.029649595687331536
2000,20069,2160,482,1631,47,NA,NA,NA,933,911,1115,577,2986,80,0.02679169457468185
2000,20071,803,143,628,32,NA,NA,NA,160,288,364,171,760,26,0.034210526315789476
2000,20073,3561,1027,2392,142,NA,NA,NA,1020,2064,1485,774,3712,182,0.0490301724137931
2000,20075,1192,264,901,27,NA,NA,NA,403,524,500,300,1270,36,0.028346456692913385
2000,20077,3055,869,2076,110,NA,NA,NA,725,1743,1371,623,3169,120,0.037866834963710946
2000,20079,13684,4591,8271,822,NA,NA,NA,3135,6414,6845,4884,17545,636,0.03624964377315475
2000,20081,1616,263,1323,30,NA,NA,NA,631,637,798,439,2074,49,0.023625843780135006
2000,20083,1088,217,835,36,NA,NA,NA,180,422,503,271,1003,35,0.03489531405782652
2000,20085,5250,1990,3001,259,NA,NA,NA,1011,3774,2174,1269,6642,286,0.04305931948208371
2000,20087,7877,3000,4423,454,NA,NA,NA,1349,5159,3443,2176,9742,387,0.03972490248408951
2000,20089,1877,380,1400,97,NA,NA,NA,347,1106,959,386,1886,51,0.02704135737009544
2000,20091,217536,79118,129965,8453,NA,NA,NA,15066,51871,87673,141219,262345,7830,0.029846194896033847
2000,20093,1435,320,1084,31,NA,NA,NA,627,719,857,389,2024,57,0.02816205533596838
2000,20095,3808,991,2672,145,NA,NA,NA,889,1955,1930,1035,4236,157,0.037063267233238904
2000,20097,1608,294,1262,52,NA,NA,NA,330,668,809,420,1605,46,0.02866043613707165
2000,20099,8538,3745,4475,318,NA,NA,NA,2553,4781,5290,2383,11317,568,0.050189979676592736
2000,20101,1133,252,846,35,NA,NA,NA,172,508,535,276,1112,32,0.02877697841726619
2000,20103,23271,9733,12583,955,NA,NA,NA,6041,15188,13225,10338,31228,1294,0.04143717176892532
2000,20105,1890,469,1295,126,NA,NA,NA,383,906,815,444,1894,55,0.02903907074973601
2000,20107,4259,1587,2513,159,NA,NA,NA,1246,2584,1880,828,4729,235,0.049693381264537956
2000,20109,1397,231,1088,78,NA,NA,NA,273,797,627,361,1596,57,0.03571428571428571
2000,20111,12455,5190,6652,613,NA,NA,NA,3732,6549,5550,4728,18515,597,0.032244126384012965
2000,20115,5903,1475,4156,272,NA,NA,NA,1405,3476,2509,1610,6689,208,0.031095828972940647
2000,20117,5115,1831,3066,218,NA,NA,NA,1115,3407,1951,987,5544,204,0.0367965367965368
2000,20113,12461,3272,8501,688,NA,NA,NA,2681,6131,6033,4233,15328,464,0.030271398747390398
2000,20119,2053,400,1604,49,NA,NA,NA,580,840,948,578,2161,60,0.027764923646459973
2000,20121,11607,4554,6611,442,NA,NA,NA,2305,6766,5803,3570,15314,519,0.03389055765965783
2000,20123,3266,751,2350,165,NA,NA,NA,551,1681,1630,783,3499,98,0.028008002286367534
2000,20125,13745,4770,8496,479,NA,NA,NA,4517,7286,8443,3844,16964,907,0.053466163640650786
2000,20127,2641,882,1599,160,NA,NA,NA,645,1723,1180,676,3052,113,0.03702490170380079
2000,20129,1557,321,1203,33,NA,NA,NA,392,748,643,382,1740,50,0.028735632183908046
2000,20131,5290,1494,3578,218,NA,NA,NA,1145,3251,1615,1027,5216,155,0.029716257668711655
2000,20133,6886,2588,4014,284,NA,NA,NA,1839,3906,3700,1668,8376,381,0.045487106017191976
2000,20135,1876,383,1420,73,NA,NA,NA,389,912,751,446,1777,45,0.025323579065841307
2000,20137,2451,598,1744,109,NA,NA,NA,633,1571,1331,643,2653,84,0.0316622691292876
2000,20139,6613,2530,3770,313,NA,NA,NA,1608,4707,3208,1594,8821,405,0.045913161773041604
2000,20141,2030,484,1432,114,NA,NA,NA,472,1256,903,484,2303,63,0.02735562310030395
2000,20143,2791,631,1977,183,NA,NA,NA,585,1601,1352,690,3361,104,0.030943171675096696
2000,20145,2940,968,1850,122,NA,NA,NA,741,1452,1620,1062,3512,101,0.028758542141230067
2000,20147,2792,611,2057,124,NA,NA,NA,654,1541,1315,672,3112,89,0.02859897172236504
2000,20149,7731,2037,4985,709,NA,NA,NA,1234,4278,3327,2602,9328,310,0.03323327615780446
2000,20151,4416,1314,2885,217,NA,NA,NA,875,1763,2388,1339,5046,140,0.027744748315497423
2000,20153,1740,306,1349,85,NA,NA,NA,330,743,736,343,1465,44,0.030034129692832763
