"year","state","fips","totalvotes","DEMOCRAT","REPUBLICAN","OTHER","lagDEM","lagREP","lagOTH"
1948,"AL","01001",2445,1160,110,1175,NA,NA,NA
1952,"AL","01001",2308,1505,787,16,1160,110,1175
1956,"AL","01001",2241,1115,857,269,1505,787,16
1960,"AL","01001",2542,1324,1153,65,1115,857,269
1964,"AL","01001",3460,491,2969,0,1324,1153,65
1968,"AL","01001",7721,5491,597,1633,491,2969,0
1972,"AL","01001",7140,1593,5367,180,5491,597,1633
1976,"AL","01001",9338,4640,4512,186,1593,5367,180
1980,"AL","01001",11063,4295,6292,476,4640,4512,186
1984,"AL","01001",11917,3366,8350,201,4295,6292,476
1988,"AL","01001",11654,3667,7828,159,3366,8350,201
1992,"AL","01001",15585,4819,8715,2051,3667,7828,159
1996,"AL","01001",15422,5015,9509,898,4819,8715,2051
2000,"AL","01001",17208,4942,11993,273,5015,9509,898
2004,"AL","01001",20081,4758,15196,127,4942,11993,273
2008,"AL","01001",23641,6093,17403,145,4758,15196,127
2012,"AL","01001",23973,6363,17379,231,6093,17403,145
2016,"AL","01001",24973,5936,18172,865,6363,17379,231
2020,"AL","01001",27770,7503,19838,429,5936,18172,865
1948,"AL","01003",6022,2577,767,2678,NA,NA,NA
1952,"AL","01003",6617,3386,3179,52,2577,767,2678
1956,"AL","01003",8414,3877,4293,244,3386,3179,52
1960,"AL","01003",10595,5647,4771,177,3877,4293,244
1964,"AL","01003",13400,2530,10870,0,5647,4771,177
1968,"AL","01003",18767,14346,2157,2264,2530,10870,0
1972,"AL","01003",18375,2923,15104,348,14346,2157,2264
1976,"AL","01003",22967,9191,13256,520,2923,15104,348
1980,"AL","01003",28353,8448,18652,1253,9191,13256,520
1984,"AL","01003",33045,7272,24964,809,8448,18652,1253
1988,"AL","01003",35598,9271,25933,394,7272,24964,809
1992,"AL","01003",46476,12195,26270,8011,9271,25933,394
1996,"AL","01003",47119,12776,29487,4856,12195,26270,8011
2000,"AL","01003",56480,13997,40872,1611,12776,29487,4856
2004,"AL","01003",69320,15599,52971,750,13997,40872,1611
2008,"AL","01003",81413,19386,61271,756,15599,52971,750
2012,"AL","01003",85491,18424,66016,1051,19386,61271,756
2016,"AL","01003",95215,18458,72883,3874,18424,66016,1051
2020,"AL","01003",109679,24578,83544,1557,18458,72883,3874
1948,"AL","01005",3465,1679,101,1685,NA,NA,NA
1952,"AL","01005",3050,2250,798,2,1679,101,1685
1956,"AL","01005",3449,2530,777,142,2250,798,2
1960,"AL","01005",3331,2148,1165,18,2530,777,142
1964,"AL","01005",4831,978,3853,0,2148,1165,18
1968,"AL","01005",7982,5483,390,2109,978,3853,0
1972,"AL","01005",7029,1846,4985,198,5483,390,2109
1976,"AL","01005",8690,4730,3758,202,1846,4985,198
1980,"AL","01005",9001,4458,4171,372,4730,3758,202
1984,"AL","01005",10161,4591,5459,111,4458,4171,372
1988,"AL","01005",8899,3836,4958,105,4591,5459,111
1992,"AL","01005",10431,4836,4475,1120,3836,4958,105
1996,"AL","01005",8953,4787,3627,539,4836,4475,1120
2000,"AL","01005",10395,5188,5096,111,4787,3627,539
2004,"AL","01005",10777,4832,5899,46,5188,5096,111
2008,"AL","01005",11630,5697,5866,67,4832,5899,46
2012,"AL","01005",11517,5912,5550,55,5697,5866,67
2016,"AL","01005",10469,4871,5454,144,5912,5550,55
2020,"AL","01005",10518,4816,5622,80,4871,5454,144
1948,"AL","01007",2524,1188,123,1213,NA,NA,NA
1952,"AL","01007",2769,1971,784,14,1188,123,1213
1956,"AL","01007",2587,1476,1004,107,1971,784,14
1960,"AL","01007",2749,1697,1049,3,1476,1004,107
1964,"AL","01007",3126,503,2623,0,1697,1049,3
1968,"AL","01007",4553,3638,260,655,503,2623,0
1972,"AL","01007",4248,837,3332,79,3638,260,655
1976,"AL","01007",4474,2850,1591,33,837,3332,79
1980,"AL","01007",5623,3097,2491,35,2850,1591,33
1984,"AL","01007",5687,2167,3487,33,3097,2491,35
1988,"AL","01007",5146,2244,2885,17,2167,3487,33
1992,"AL","01007",6720,2900,3124,696,2244,2885,17
1996,"AL","01007",6301,2775,3037,489,2900,3124,696
2000,"AL","01007",7101,2710,4273,118,2775,3037,489
2004,"AL","01007",7600,2089,5472,39,2710,4273,118
2008,"AL","01007",8644,2299,6262,83,2089,5472,39
2012,"AL","01007",8420,2202,6132,86,2299,6262,83
2016,"AL","01007",8819,1874,6738,207,2202,6132,86
2020,"AL","01007",9595,1986,7525,84,1874,6738,207
1948,"AL","01009",4328,1768,771,1789,NA,NA,NA
1952,"AL","01009",4888,3161,1720,7,1768,771,1789
1956,"AL","01009",5926,3212,2628,86,3161,1720,7
1960,"AL","01009",5975,3404,2558,13,3212,2628,86
1964,"AL","01009",6869,2427,4442,0,3404,2558,13
1968,"AL","01009",8970,6518,1996,456,2427,4442,0
1972,"AL","01009",8173,1582,6486,105,6518,1996,456
1976,"AL","01009",10978,6645,4233,100,1582,6486,105
1980,"AL","01009",12724,5656,6819,249,6645,4233,100
1984,"AL","01009",12482,3738,8508,236,5656,6819,249
1988,"AL","01009",13548,4485,8754,309,3738,8508,236
1992,"AL","01009",16505,5433,8882,2190,4485,8754,309
1996,"AL","01009",15327,5061,9056,1210,5433,8882,2190
2000,"AL","01009",17973,4977,12667,329,5061,9056,1210
2004,"AL","01009",21504,3938,17386,180,4977,12667,329
2008,"AL","01009",24267,3522,20389,356,3938,17386,180
2012,"AL","01009",24060,2970,20757,333,3522,20389,356
2016,"AL","01009",25588,2156,22859,573,2970,20757,333
2020,"AL","01009",27588,2640,24711,237,2156,22859,573
1948,"AL","01011",1608,799,10,799,NA,NA,NA
1952,"AL","01011",1360,918,442,0,799,10,799
1956,"AL","01011",1173,733,304,136,918,442,0
1960,"AL","01011",1170,757,408,5,733,304,136
1964,"AL","01011",2630,1114,1516,0,757,408,5
1968,"AL","01011",4341,2157,190,1994,1114,1516,0
1972,"AL","01011",4591,2321,2178,92,2157,190,1994
1976,"AL","01011",5092,3536,1482,74,2321,2178,92
1980,"AL","01011",5637,3960,1446,231,3536,1482,74
1984,"AL","01011",5299,3537,1697,65,3960,1446,231
1988,"AL","01011",4584,3122,1421,41,3537,1697,65
1992,"AL","01011",4816,3259,1253,304,3122,1421,41
1996,"AL","01011",4384,3078,1154,152,3259,1253,304
2000,"AL","01011",4904,3395,1433,76,3078,1154,152
2004,"AL","01011",4717,3210,1494,13,3395,1433,76
2008,"AL","01011",5415,4011,1391,13,3210,1494,13
2012,"AL","01011",5322,4061,1251,10,4011,1391,13
2016,"AL","01011",4710,3530,1140,40,4061,1251,10
2020,"AL","01011",4613,3446,1146,21,3530,1140,40
1948,"AL","01013",2722,1313,91,1318,NA,NA,NA
1952,"AL","01013",3528,2440,1087,1,1313,91,1318
1956,"AL","01013",3533,1958,1324,251,2440,1087,1
1960,"AL","01013",4122,2872,1232,18,1958,1324,251
1964,"AL","01013",4975,973,4002,0,2872,1232,18
1968,"AL","01013",7318,5550,504,1264,973,4002,0
1972,"AL","01013",6128,1401,4685,42,5550,504,1264
1976,"AL","01013",7208,4271,2909,28,1401,4685,42
1980,"AL","01013",8368,4156,3810,402,4271,2909,28
1984,"AL","01013",8709,3641,4941,127,4156,3810,402
1988,"AL","01013",7459,3465,3923,71,3641,4941,127
1992,"AL","01013",8478,4021,3494,963,3465,3923,71
1996,"AL","01013",7770,3828,3352,590,4021,3494,963
2000,"AL","01013",7803,3606,4127,70,3828,3352,590
2004,"AL","01013",8416,3413,4979,24,3606,4127,70
2008,"AL","01013",9709,4188,5485,36,3413,4979,24
2012,"AL","01013",9502,4374,5087,41,4188,5485,36
2016,"AL","01013",8732,3726,4901,105,4374,5087,41
2020,"AL","01013",9488,3965,5458,65,3726,4901,105
1948,"AL","01015",7408,3236,856,3316,NA,NA,NA
1952,"AL","01015",11193,8023,3064,106,3236,856,3316
1956,"AL","01015",13894,9063,4473,358,8023,3064,106
1960,"AL","01015",14559,9590,4844,125,9063,4473,358
1964,"AL","01015",16845,6210,10635,0,9590,4844,125
1968,"AL","01015",26871,19290,3051,4530,6210,10635,0
1972,"AL","01015",26471,5832,20364,275,19290,3051,4530
1976,"AL","01015",32700,20466,11763,471,5832,20364,275
1980,"AL","01015",35541,17017,17475,1049,20466,11763,471
1984,"AL","01015",38082,12752,23291,2039,17017,17475,1049
1988,"AL","01015",33968,12451,19806,1711,12752,23291,2039
1992,"AL","01015",42800,16453,20623,5724,12451,19806,1711
1996,"AL","01015",36911,15725,18088,3098,16453,20623,5724
2000,"AL","01015",38909,15781,22306,822,15725,18088,3098
2004,"AL","01015",45249,15083,29814,352,15781,22306,822
2008,"AL","01015",49242,16334,32348,560,15083,29814,352
2012,"AL","01015",46364,15511,30278,575,16334,32348,560
2016,"AL","01015",47864,13242,32865,1757,15511,30278,575
2020,"AL","01015",50983,15216,35101,666,13242,32865,1757
1948,"AL","01017",3287,1520,218,1549,NA,NA,NA
1952,"AL","01017",7190,6155,990,45,1520,218,1549
1956,"AL","01017",6732,5160,1448,124,6155,990,45
1960,"AL","01017",7101,5165,1865,71,5160,1448,124
1964,"AL","01017",7187,2557,4630,0,5165,1865,71
1968,"AL","01017",10638,7858,1084,1696,2557,4630,0
1972,"AL","01017",11003,2076,8716,211,7858,1084,1696
1976,"AL","01017",11848,6164,5488,196,2076,8716,211
1980,"AL","01017",11899,6649,4864,386,6164,5488,196
1984,"AL","01017",13463,5302,8024,137,6649,4864,386
1988,"AL","01017",12956,5103,7694,159,5302,8024,137
1992,"AL","01017",13091,5938,5682,1471,5103,7694,159
1996,"AL","01017",11097,5515,4707,875,5938,5682,1471
2000,"AL","01017",11834,5616,6037,181,5515,4707,875
2004,"AL","01017",13032,5347,7622,63,5616,6037,181
2008,"AL","01017",14956,6799,8067,90,5347,7622,63
2012,"AL","01017",14629,6871,7626,132,6799,8067,90
2016,"AL","01017",13900,5784,7843,273,6871,7626,132
2020,"AL","01017",15284,6365,8753,166,5784,7843,273
1948,"AL","01019",2348,1055,217,1076,NA,NA,NA
1952,"AL","01019",3211,2664,539,8,1055,217,1076
1956,"AL","01019",3513,2661,845,7,2664,539,8
1960,"AL","01019",3970,3097,869,4,2661,845,7
1964,"AL","01019",3809,1916,1893,0,3097,869,4
1968,"AL","01019",5661,4759,343,559,1916,1893,0
1972,"AL","01019",4422,1182,3179,61,4759,343,559
1976,"AL","01019",6256,4668,1492,96,1182,3179,61
1980,"AL","01019",6438,3764,2482,192,4668,1492,96
1984,"AL","01019",6319,3029,3225,65,3764,2482,192
1988,"AL","01019",6101,3176,2868,57,3029,3225,65
1992,"AL","01019",7876,4222,2745,909,3176,2868,57
1996,"AL","01019",8421,4399,3048,974,4222,2745,909
2000,"AL","01019",7823,3497,4154,172,4399,3048,974
2004,"AL","01019",9049,3040,5923,86,3497,4154,172
2008,"AL","01019",9745,2306,7298,141,3040,5923,86
2012,"AL","01019",9792,2132,7506,154,2306,7298,141
2016,"AL","01019",10733,1547,8953,233,2132,7506,154
2020,"AL","01019",12301,1624,10583,94,1547,8953,233
1948,"AL","01021",5530,1966,1584,1980,NA,NA,NA
1952,"AL","01021",4844,2269,2563,12,1966,1584,1980
1956,"AL","01021",5148,1891,3139,118,2269,2563,12
1960,"AL","01021",5066,1798,3260,8,1891,3139,118
1964,"AL","01021",6847,1645,5202,0,1798,3260,8
1968,"AL","01021",8847,6547,1551,749,1645,5202,0
1972,"AL","01021",8867,1356,7349,162,6547,1551,749
1976,"AL","01021",10385,5550,4725,110,1356,7349,162
1980,"AL","01021",11477,4706,6615,156,5550,4725,110
1984,"AL","01021",11688,2934,8243,511,4706,6615,156
1988,"AL","01021",12623,3820,8761,42,2934,8243,511
1992,"AL","01021",14468,4946,8126,1396,3820,8761,42
1996,"AL","01021",14278,5354,7910,1014,4946,8126,1396
2000,"AL","01021",15092,4806,10066,220,5354,7910,1014
2004,"AL","01021",16693,3778,12829,86,4806,10066,220
2008,"AL","01021",17785,3674,13960,151,3778,12829,86
2012,"AL","01021",17485,3397,13932,156,3674,13960,151
2016,"AL","01021",18369,2911,15081,377,3397,13932,156
2020,"AL","01021",19310,3073,16085,152,2911,15081,377
1948,"AL","01023",2897,1440,16,1441,NA,NA,NA
1952,"AL","01023",2185,1583,593,9,1440,16,1441
1956,"AL","01023",1780,1251,457,72,1583,593,9
1960,"AL","01023",1791,1094,605,92,1251,457,72
1964,"AL","01023",2910,413,2497,0,1094,605,92
1968,"AL","01023",6123,4204,177,1742,413,2497,0
1972,"AL","01023",5030,1934,3055,41,4204,177,1742
1976,"AL","01023",6972,3911,3033,28,1934,3055,41
1980,"AL","01023",6580,3680,2859,41,3911,3033,28
1984,"AL","01023",7349,3373,3960,16,3680,2859,41
1988,"AL","01023",7131,3491,3629,11,3373,3960,16
1992,"AL","01023",7560,3941,3069,550,3491,3629,11
1996,"AL","01023",7131,4074,2623,434,3941,3069,550
2000,"AL","01023",7374,3707,3600,67,4074,2623,434
2004,"AL","01023",7227,3303,3897,27,3707,3600,67
2008,"AL","01023",7894,3636,4223,35,3303,3897,27
2012,"AL","01023",7976,3786,4152,38,3636,4223,35
2016,"AL","01023",7292,3109,4106,77,3786,4152,38
2020,"AL","01023",7464,3127,4296,41,3109,4106,77
1948,"AL","01025",4169,2059,47,2063,NA,NA,NA
1952,"AL","01025",4425,3121,1303,1,2059,47,2063
1956,"AL","01025",3206,1953,1246,7,3121,1303,1
1960,"AL","01025",3961,1878,2010,73,1953,1246,7
1964,"AL","01025",5384,924,4460,0,1878,2010,73
1968,"AL","01025",8680,6166,488,2026,924,4460,0
1972,"AL","01025",7414,2031,5256,127,6166,488,2026
1976,"AL","01025",9006,4737,4126,143,2031,5256,127
1980,"AL","01025",10663,5249,5059,355,4737,4126,143
1984,"AL","01025",10811,4452,6282,77,5249,5059,355
1988,"AL","01025",10020,4217,5708,95,4452,6282,77
1992,"AL","01025",11717,5023,5495,1199,4217,5708,95
1996,"AL","01025",10118,4831,4785,502,5023,5495,1199
2000,"AL","01025",10752,4679,5988,85,4831,4785,502
2004,"AL","01025",11394,4627,6730,37,4679,5988,85
2008,"AL","01025",13435,5914,7466,55,4627,6730,37
2012,"AL","01025",13860,6334,7470,56,5914,7466,55
2016,"AL","01025",13031,5749,7140,142,6334,7470,56
2020,"AL","01025",13135,5755,7324,56,5749,7140,142
1948,"AL","01027",2608,1106,387,1115,NA,NA,NA
1952,"AL","01027",3164,1972,1183,9,1106,387,1115
1956,"AL","01027",3348,1702,1597,49,1972,1183,9
1960,"AL","01027",3307,1743,1548,16,1702,1597,49
1964,"AL","01027",4014,1199,2815,0,1743,1548,16
1968,"AL","01027",5003,4050,665,288,1199,2815,0
1972,"AL","01027",4474,507,3948,19,4050,665,288
1976,"AL","01027",4858,2946,1883,29,507,3948,19
1980,"AL","01027",5747,2858,2764,125,2946,1883,29
1984,"AL","01027",5033,1456,3432,145,2858,2764,125
1988,"AL","01027",5238,1602,3496,140,1456,3432,145
1992,"AL","01027",5755,2073,2859,823,1602,3496,140
1996,"AL","01027",5568,2306,2694,568,2073,2859,823
2000,"AL","01027",5883,2045,3719,119,2306,2694,568
2004,"AL","01027",6576,1893,4624,59,2045,3719,119
2008,"AL","01027",6819,1760,4984,75,1893,4624,59
2012,"AL","01027",6679,1777,4817,85,1760,4984,75
2016,"AL","01027",6624,1237,5245,142,1777,4817,85
2020,"AL","01027",6930,1267,5601,62,1237,5245,142
1948,"AL","01029",1727,700,317,710,NA,NA,NA
1952,"AL","01029",2354,1557,792,5,700,317,710
1956,"AL","01029",2470,1407,1056,7,1557,792,5
1960,"AL","01029",2522,1510,1008,4,1407,1056,7
1964,"AL","01029",2828,672,2156,0,1510,1008,4
1968,"AL","01029",3972,3284,484,204,672,2156,0
1972,"AL","01029",4014,581,3420,13,3284,484,204
1976,"AL","01029",3981,2490,1436,55,581,3420,13
1980,"AL","01029",4526,2050,2389,87,2490,1436,55
1984,"AL","01029",4623,1238,3259,126,2050,2389,87
1988,"AL","01029",4490,1383,3071,36,1238,3259,126
1992,"AL","01029",5237,2144,2425,668,1383,3071,36
1996,"AL","01029",4241,1737,2063,441,2144,2425,668
2000,"AL","01029",5092,1664,3333,95,1737,2063,441
2004,"AL","01029",5798,1391,4370,37,1664,3333,95
2008,"AL","01029",6492,1168,5216,108,1391,4370,37
2012,"AL","01029",6319,971,5272,76,1168,5216,108
2016,"AL","01029",6593,684,5764,145,971,5272,76
2020,"AL","01029",7227,675,6484,68,684,5764,145
1948,"AL","01031",4186,2031,113,2042,NA,NA,NA
1952,"AL","01031",4620,3919,699,2,2031,113,2042
1956,"AL","01031",5270,4165,973,132,3919,699,2
1960,"AL","01031",5864,4470,1378,16,4165,973,132
1964,"AL","01031",6123,1213,4910,0,4470,1378,16
1968,"AL","01031",10849,8982,671,1196,1213,4910,0
1972,"AL","01031",11336,2160,9076,100,8982,671,1196
1976,"AL","01031",12651,7844,4683,124,2160,9076,100
1980,"AL","01031",13399,6140,6760,499,7844,4683,124
1984,"AL","01031",15118,4370,10558,190,6140,6760,499
1988,"AL","01031",13355,4319,8890,146,4370,10558,190
1992,"AL","01031",15533,5776,7591,2166,4319,8890,146
1996,"AL","01031",14159,5168,7805,1186,5776,7591,2166
2000,"AL","01031",15434,5220,9938,276,5168,7805,1186
2004,"AL","01031",17616,4480,13019,117,5220,9938,276
2008,"AL","01031",20128,5079,14919,130,4480,13019,117
2012,"AL","01031",19821,4925,14666,230,5079,14919,130
2016,"AL","01031",20767,4221,15875,671,4925,14666,230
2020,"AL","01031",22275,5076,16899,300,4221,15875,671
1948,"AL","01033",5735,2609,488,2638,NA,NA,NA
1952,"AL","01033",7308,5920,1381,7,2609,488,2638
1956,"AL","01033",8903,6973,1819,111,5920,1381,7
1960,"AL","01033",10511,7550,2818,143,6973,1819,111
1964,"AL","01033",10840,5573,5267,0,7550,2818,143
1968,"AL","01033",15507,11284,1703,2520,5573,5267,0
1972,"AL","01033",16564,4811,11215,538,11284,1703,2520
1976,"AL","01033",16842,11996,4471,375,4811,11215,538
1980,"AL","01033",20013,12550,6619,844,11996,4471,375
1984,"AL","01033",21032,11008,9530,494,12550,6619,844
1988,"AL","01033",18404,10397,7775,232,11008,9530,494
1992,"AL","01033",22439,12206,8073,2160,10397,7775,232
1996,"AL","01033",20318,10226,8305,1787,12206,8073,2160
2000,"AL","01033",21532,10543,10518,471,10226,8305,1787
2004,"AL","01033",23935,10598,13188,149,10543,10518,471
2008,"AL","01033",24843,9703,14739,401,10598,13188,149
2012,"AL","01033",23444,9166,13936,342,9703,14739,401
2016,"AL","01033",24915,7312,16746,857,9166,13936,342
2020,"AL","01033",27886,8343,19203,340,7312,16746,857
1948,"AL","01035",2746,1339,64,1343,NA,NA,NA
1952,"AL","01035",2458,1678,749,31,1339,64,1343
1956,"AL","01035",2755,1688,885,182,1678,749,31
1960,"AL","01035",2510,1815,645,50,1688,885,182
1964,"AL","01035",3421,639,2782,0,1815,645,50
1968,"AL","01035",5241,3816,188,1237,639,2782,0
1972,"AL","01035",4296,1042,3214,40,3816,188,1237
1976,"AL","01035",4980,3086,1812,82,1042,3214,40
1980,"AL","01035",6181,3102,2948,131,3086,1812,82
1984,"AL","01035",6334,2735,3538,61,3102,2948,131
1988,"AL","01035",6357,3022,3256,79,2735,3538,61
1992,"AL","01035",6307,3155,2463,689,3022,3256,79
1996,"AL","01035",5461,2903,2093,465,3155,2463,689
2000,"AL","01035",5551,2783,2699,69,2903,2093,465
2004,"AL","01035",6021,2719,3271,31,2783,2699,69
2008,"AL","01035",6943,3429,3470,44,2719,3271,31
2012,"AL","01035",7025,3555,3439,31,3429,3470,44
2016,"AL","01035",6585,3080,3420,85,3555,3439,31
2020,"AL","01035",6441,2966,3442,33,3080,3420,85
1948,"AL","01037",1964,840,275,849,NA,NA,NA
1952,"AL","01037",2291,1501,788,2,840,275,849
1956,"AL","01037",2521,1413,1070,38,1501,788,2
1960,"AL","01037",2575,1493,1073,9,1413,1070,38
1964,"AL","01037",2718,740,1978,0,1493,1073,9
1968,"AL","01037",3718,2723,335,660,740,1978,0
1972,"AL","01037",3461,773,2672,16,2723,335,660
1976,"AL","01037",3766,2533,1196,37,773,2672,16
1980,"AL","01037",4209,2383,1714,112,2533,1196,37
1984,"AL","01037",4385,1781,2585,19,2383,1714,112
1988,"AL","01037",4283,1860,2405,18,1781,2585,19
1992,"AL","01037",4798,2330,1973,495,1860,2405,18
1996,"AL","01037",4131,2121,1721,289,2330,1973,495
2000,"AL","01037",4567,2104,2382,81,2121,1721,289
2004,"AL","01037",5001,2055,2905,41,2104,2382,81
2008,"AL","01037",5563,2273,3248,42,2055,2905,41
2012,"AL","01037",5282,2191,3049,42,2273,3248,42
2016,"AL","01037",5252,1782,3381,89,2191,3049,42
2020,"AL","01037",5479,1796,3631,52,1782,3381,89
1948,"AL","01039",5700,2764,154,2782,NA,NA,NA
1952,"AL","01039",6558,4956,1581,21,2764,154,2782
1956,"AL","01039",7489,4886,2257,346,4956,1581,21
1960,"AL","01039",7819,5744,2042,33,4886,2257,346
1964,"AL","01039",9175,1621,7554,0,5744,2042,33
1968,"AL","01039",13086,11363,857,866,1621,7554,0
1972,"AL","01039",10881,1547,9278,56,11363,857,866
1976,"AL","01039",12224,7081,4977,166,1547,9278,56
1980,"AL","01039",13608,6305,7014,289,7081,4977,166
1984,"AL","01039",13883,3812,9944,127,6305,7014,289
1988,"AL","01039",12073,3845,8130,98,3812,9944,127
1992,"AL","01039",13962,5004,6840,2118,3845,8130,98
1996,"AL","01039",11913,4543,6035,1335,5004,6840,2118
2000,"AL","01039",13613,4440,8961,212,4543,6035,1335
2004,"AL","01039",14627,3423,11119,85,4440,8961,212
2008,"AL","01039",15787,3240,12444,103,3423,11119,85
2012,"AL","01039",15439,3158,12153,128,3240,12444,103
2016,"AL","01039",15940,2387,13267,286,3158,12153,128
2020,"AL","01039",17430,2721,14586,123,2387,13267,286
1948,"AL","01041",2818,1386,38,1394,NA,NA,NA
1952,"AL","01041",3032,2485,544,3,1386,38,1394
1956,"AL","01041",2985,2262,567,156,2485,544,3
1960,"AL","01041",3501,2923,573,5,2262,567,156
1964,"AL","01041",3824,816,3008,0,2923,573,5
1968,"AL","01041",5474,4492,222,760,816,3008,0
1972,"AL","01041",4294,1085,3129,80,4492,222,760
1976,"AL","01041",5266,3372,1801,93,1085,3129,80
1980,"AL","01041",5256,2704,2478,74,3372,1801,93
1984,"AL","01041",5272,1904,3261,107,2704,2478,74
1988,"AL","01041",4478,1836,2617,25,1904,3261,107
1992,"AL","01041",5290,2404,2339,547,1836,2617,25
1996,"AL","01041",4447,2172,1939,336,2404,2339,547
2000,"AL","01041",4795,1934,2793,68,2172,1939,336
2004,"AL","01041",5500,1698,3777,25,1934,2793,68
2008,"AL","01041",6291,1938,4319,34,1698,3777,25
2012,"AL","01041",6424,2050,4331,43,1938,4319,34
2016,"AL","01041",6267,1664,4513,90,2050,4331,43
2020,"AL","01041",6617,1700,4864,53,1664,4513,90
1948,"AL","01043",8951,3587,1755,3609,NA,NA,NA
1952,"AL","01043",8667,5254,3391,22,3587,1755,3609
1956,"AL","01043",9927,5508,4381,38,5254,3391,22
1960,"AL","01043",10599,6346,4248,5,5508,4381,38
1964,"AL","01043",12262,5110,7152,0,6346,4248,5
1968,"AL","01043",17220,11025,4956,1239,5110,7152,0
1972,"AL","01043",18091,3571,14390,130,11025,4956,1239
1976,"AL","01043",20055,12961,6899,195,3571,14390,130
1980,"AL","01043",22240,11525,10212,503,12961,6899,195
1984,"AL","01043",23126,7989,14782,355,11525,10212,503
1988,"AL","01043",23197,8517,14351,329,7989,14782,355
1992,"AL","01043",29043,10451,14411,4181,8517,14351,329
1996,"AL","01043",26553,9544,14308,2701,10451,14411,4181
2000,"AL","01043",29525,9758,19157,610,9544,14308,2701
2004,"AL","01043",35191,8045,26818,328,9758,19157,610
2008,"AL","01043",35305,5864,28896,545,8045,26818,328
2012,"AL","01043",34555,5052,28999,504,5864,28896,545
2016,"AL","01043",37873,3798,32989,1086,5052,28999,504
2020,"AL","01043",41851,4478,36880,493,3798,32989,1086
1948,"AL","01045",2954,1352,230,1372,NA,NA,NA
1952,"AL","01045",3763,2669,1073,21,1352,230,1372
1956,"AL","01045",3712,2318,1284,110,2669,1073,21
1960,"AL","01045",4218,2563,1634,21,2318,1284,110
1964,"AL","01045",5933,963,4970,0,2563,1634,21
1968,"AL","01045",9659,8105,591,963,963,4970,0
1972,"AL","01045",10038,1594,8346,98,8105,591,963
1976,"AL","01045",11531,6346,4996,189,1594,8346,98
1980,"AL","01045",12573,4936,7247,390,6346,4996,189
1984,"AL","01045",13692,3215,10319,158,4936,7247,390
1988,"AL","01045",12905,3476,9266,163,3215,10319,158
1992,"AL","01045",15787,5098,8123,2566,3476,9266,163
1996,"AL","01045",14330,4732,8288,1310,5098,8123,2566
2000,"AL","01045",15806,4906,10593,307,4732,8288,1310
2004,"AL","01045",18231,4484,13621,126,4906,10593,307
2008,"AL","01045",19320,5270,13886,164,4484,13621,126
2012,"AL","01045",18601,5286,13108,207,5270,13886,164
2016,"AL","01045",18749,4413,13808,528,5286,13108,207
2020,"AL","01045",19738,5170,14303,265,4413,13808,528
1948,"AL","01047",5590,2720,132,2738,NA,NA,NA
1952,"AL","01047",4632,2082,2550,0,2720,132,2738
1956,"AL","01047",5360,2123,2324,913,2082,2550,0
1960,"AL","01047",5049,2103,2877,69,2123,2324,913
1964,"AL","01047",6607,719,5888,0,2103,2877,69
1968,"AL","01047",16587,8783,1147,6657,719,5888,0
1972,"AL","01047",14280,5427,8644,209,8783,1147,6657
1976,"AL","01047",16361,8866,7144,351,5427,8644,209
1980,"AL","01047",18147,9770,7647,730,8866,7144,351
1984,"AL","01047",20718,10955,9585,178,9770,7647,730
1988,"AL","01047",17423,9660,7630,133,10955,9585,178
1992,"AL","01047",19604,11053,7394,1157,9660,7630,133
1996,"AL","01047",17654,10507,6612,535,11053,7394,1157
2000,"AL","01047",18464,10967,7360,137,10507,6612,535
2004,"AL","01047",18573,11175,7335,63,10967,7360,137
2008,"AL","01047",20852,13986,6798,68,11175,7335,63
2012,"AL","01047",20964,14612,6288,64,13986,6798,68
2016,"AL","01047",18792,12836,5789,167,14612,6288,64
2020,"AL","01047",17864,12230,5524,110,12836,5789,167
1948,"AL","01049",9906,3573,2743,3590,NA,NA,NA
1952,"AL","01049",9217,5209,3997,11,3573,2743,3590
1956,"AL","01049",11468,5768,5684,16,5209,3997,11
1960,"AL","01049",11437,5844,5581,12,5768,5684,16
1964,"AL","01049",11694,4948,6746,0,5844,5581,12
1968,"AL","01049",14747,8089,5364,1294,4948,6746,0
1972,"AL","01049",13237,3759,9434,44,8089,5364,1294
1976,"AL","01049",16437,9759,6597,81,3759,9434,44
1980,"AL","01049",18690,8820,9673,197,9759,6597,81
1984,"AL","01049",19349,7212,12098,39,8820,9673,197
1988,"AL","01049",18940,7333,11478,129,7212,12098,39
1992,"AL","01049",21585,8245,10519,2821,7333,11478,129
1996,"AL","01049",18143,6544,9823,1776,8245,10519,2821
2000,"AL","01049",20285,7056,12827,402,6544,9823,1776
2004,"AL","01049",24169,7092,16904,173,7056,12827,402
2008,"AL","01049",24015,5658,17957,400,7092,16904,173
2012,"AL","01049",23950,5239,18331,380,5658,17957,400
2016,"AL","01049",25826,3622,21405,799,5239,18331,380
2020,"AL","01049",29356,4281,24767,308,3622,21405,799
1948,"AL","01051",4965,2387,167,2411,NA,NA,NA
1952,"AL","01051",5518,4199,1315,4,2387,167,2411
1956,"AL","01051",5359,3318,1619,422,4199,1315,4
1960,"AL","01051",5400,3440,1910,50,3318,1619,422
1964,"AL","01051",7596,1233,6363,0,3440,1910,50
1968,"AL","01051",11817,8998,823,1996,1233,6363,0
