id	parliament	year	candidate_name	edate	birth_year	country_birth	occupation	riding_id	riding	province	votes	percent_votes	party_raw	party_minor_group	party_major_group	gov_party_raw	gov_minor_group	gov_major_group	num_candidates	type_elxn	elected	incumbent	gender	lgbtq2_out	indigenousorigins	lawyer	censuscategory	acclaimed	switcher	multiple_candidacy
3923	14	1921	"CLARK, Michael"	"1921-12-06"			"farmer"		"MACKENZIE"	"Saskatchewan"	3025	25.987972	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	4	1	0	1	0		0	0	8	0	0	0
20083	14	1921	"KYTE, George William"	"1921-12-06"	1864		"barrister"		"CAPE BRETON SOUTH AND RICHMOND"	"Nova Scotia"	10387	20.177551	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	6	1	1	0	0		0	1	4	0	0	0
23676	14	1921	"MICHAUD, Pius"	"1921-12-06"	1870		"barrister"		"RESTIGOUCHE--MADAWASKA"	"New Brunswick"	7593	81.50494	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	1	1	0		0	1	4	0	0	0
3563	14	1921	"CHAMPAGNE, N."	"1921-12-06"			"lawyer"		"OTTAWA (CITY OF)"	"Ontario"	15450	18.34503	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	6	1	0	0	0		0	1	4	0	0	0
8109	14	1921	"GOOD, William Charles"	"1921-12-06"	1876		"farmer"		"BRANT"	"Ontario"	3309	40.831688	"Independent Progressive"	"Independent"	"Independent"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	1	0	0		0	0	8	0	0	0
22959	14	1921	"MCEACHREN, Donald"	"1921-12-06"			"harness maker"		"TIMISKAMING"	"Ontario"	5703	33.89196	"Liberal"	"Liberal"	"Liberal"	"Liberal Party of Canada"	"Liberal"	"Liberal"	4	1	0	0	0		0	0	6	0	0	0
2791	14	1921	"BUHAY, Michael"	"1921-12-06"			"garment worker"		"GEORGE-�����TIENNE CARTIER"	"Quebec"	1522	11.033783	"Independent"	"Independent"	"Independent"	"Liberal Party of Canada"	"Liberal"	"Liberal"	5	1	0	0	0		0	0	6	0	0	0
28617	14	1921	"SPENCE, David"	"1921-12-06"	1867		"merchant"		"PARKDALE"	"Ontario"	10705	56.595295	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	1	0	0		0	0	6	0	0	0
5895	14	1921	"DRUMMOND, John Douglas Fraser"	"1921-12-06"	1860		"farmer"		"MIDDLESEX WEST"	"Ontario"	5543	46.22248	"Progressive"	"Progressive"	"Progressive"	"Liberal Party of Canada"	"Liberal"	"Liberal"	3	1	1	0	0		0	0	8	0	0	0
26760	14	1921	"RICHARDSON, Thomas"	"1921-12-06"			"secretary"		"VANCOUVER SOUTH"	"British Columbia"	2827	21.809906	"Labour"	"Labour"	"Third_Party"	"Liberal Party of Canada"	"Liberal"	"Liberal"	5	1	0	0	0		0	0	1	0	0	0
25166	14	1921	"PAQUET, Eug�����ne"	"1921-12-06"			"physician"		"L'ISLET"	"Quebec"	2132	36.431988	"Conservative"	"Conservative"	"Conservative"	"Liberal Party of Canada"	"Liberal"	"Liberal"	2	1	0	0	0		0	0	3	0	0	0
